target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
monthly,ridge,H_M_P_C,1.0,0.672417713055841,0.6724177130558411,0.006991910937762526
monthly,ridge,H_M_P_C,10.0,0.673026119913324,0.6730261199133241,0.006970990897757423
monthly,ridge,H_D_M_P_C,0.001,0.6742503953530703,0.6742503953530703,0.0008881146891461352
monthly,ridge,H_D_M_P_C,0.01,0.6567112520393572,0.6567112520393572,0.003379168239661177
monthly,ridge,H_D_M_P_C,0.1,0.6463191240837259,0.6463191240837259,0.006707209464977161
monthly,ridge,H_D_M_P_C,1.0,0.6484382234205566,0.6484382234205567,0.010134812878121843
monthly,ridge,H_D_M_P_C,10.0,0.6521860457648496,0.6521860457648496,0.011505722721863697
monthly,ridge,H_B_M_P_C,0.001,0.6753873936825169,0.6753873936825169,0.00134590979505461
monthly,ridge,H_B_M_P_C,0.01,0.6675633634905543,0.6675633634905543,0.005085193578803723
monthly,ridge,H_B_M_P_C,0.1,0.6681147604134986,0.6681147604134985,0.0071133152529862685
monthly,ridge,H_B_M_P_C,1.0,0.6690080684217558,0.6690080684217559,0.007466182540263313
monthly,ridge,H_B_M_P_C,10.0,0.6696614457472446,0.6696614457472446,0.0074809383411665225
monthly,ridge,H_D_B_M_P_C,0.001,0.6721115044334685,0.6721115044334683,0.001167349731959992
monthly,ridge,H_D_B_M_P_C,0.01,0.6537981627232784,0.6537981627232784,0.004573663894580267
monthly,ridge,H_D_B_M_P_C,0.1,0.6442228378301376,0.6442228378301376,0.00871106085312494
monthly,ridge,H_D_B_M_P_C,1.0,0.6470358202793036,0.6470358202793036,0.012303161817890637
monthly,ridge,H_D_B_M_P_C,10.0,0.650806281976679,0.6508062819766789,0.013606882945482332
monthly,ridge,H_A,0.001,0.6751378612157841,0.6751378612157841,0.000979507262240678
monthly,ridge,H_A,0.01,0.6659415795798533,0.6659415795798532,0.0037411898951529706
monthly,ridge,H_A,0.1,0.6653264522853897,0.6653264522853897,0.005184666101211364
monthly,ridge,H_A,1.0,0.6653783199995518,0.6653783199995518,0.0053926697410178245
monthly,ridge,H_A,10.0,0.6653854677622434,0.6653854677622432,0.0054144277555694224
monthly,ridge,H_D_A,0.001,0.671841698338756,0.6718416983387558,0.0006644346551081404
monthly,ridge,H_D_A,0.01,0.6518497777508366,0.6518497777508367,0.002594256551302758
monthly,ridge,H_D_A,0.1,0.6403348738197754,0.6403348738197753,0.005907265021733242
monthly,ridge,H_D_A,1.0,0.6415285104423833,0.6415285104423833,0.009168691547628475
monthly,ridge,H_D_A,10.0,0.6447068561807756,0.6447068561807756,0.010281896600342918
monthly,ridge,H_B_A,0.001,0.6729156625405409,0.672915662540541,0.0010520871502259325
monthly,ridge,H_B_A,0.01,0.6624959409972812,0.6624959409972812,0.004244372287539905
monthly,ridge,H_B_A,0.1,0.6620537879990125,0.6620537879990127,0.005869930344014692
monthly,ridge,H_B_A,1.0,0.6621397088127831,0.6621397088127832,0.006103698650886666
