algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status
ridge,False,D,인구통계 정보,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.05665604498143289,-0.07796302920304847,-0.03597535586659902,-0.0793915655208833,-0.03392052444198247,negative,0.010627082730258851,0.022735520539450417,56,2000,0.017585198544742827,-0.07424124352617571,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,B,소비서비스 생활 개선 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0062775731382622,-0.0009843333341558228,0.013542302751172415,-0.016457947401188215,0.02901309367771262,not_resolved,0.003656119388967316,0.022735520539450417,56,2000,0.00529450478922441,0.0009830683490377901,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0009523669965247061,0.000596190787759137,0.0013154713077070982,-0.02178315354292571,0.023687887535975123,not_resolved,0.00018019018511646076,0.022735520539450417,56,2000,-0.00015950740352419266,0.0011118744000488988,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.003714863316383565,-0.006272111224012063,-0.0010045338348799286,-0.02645038385583398,0.019020657223066853,not_resolved,0.001351101174682214,0.022735520539450417,56,2000,0.00020542027730293433,-0.003920283593686499,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,C,개인정보 수집 동의 반응,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0008175918587945864,-0.0009671162322870425,0.002488385164552974,-0.02191792868065583,0.023553112398245004,not_resolved,0.000902038324892687,0.022735520539450417,56,2000,-0.0005444932252760981,0.0013620850840706845,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,A,생성형 AI 이용 경험,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.01964737558496482,-0.030186315175973512,-0.00997248530363174,-0.04238289612441524,0.0030881449544855957,not_resolved,0.0052881628261141084,0.022735520539450417,56,2000,0.004035656316924412,-0.023683031901889234,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,K,공통 디지털 역량 11문항,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.012996631800395316,0.00257582450922463,0.023912806571756103,-0.009738888739055101,0.03573215233984573,not_resolved,0.0053683657633189705,0.022735520539450417,56,2000,0.011895964287229771,0.0011006675131655444,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,D,인구통계 정보,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.01893981844211127,-0.031995926155191014,-0.004920141048358581,-0.041675338981561685,0.0037957020973391487,not_resolved,0.007004647909843024,0.022735520539450417,56,2000,0.0185567709662965,-0.03749658940840777,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.00843253871888531,0.002825877141624255,0.01412278636068726,-0.014302981820565107,0.031168059258335726,not_resolved,0.0028641542833257516,0.022735520539450417,56,2000,0.002042172013978414,0.0063903667049068965,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.011562224332284054,-0.016916560464097515,-0.00629978856477428,-0.03429774487173447,0.011173296207166363,not_resolved,0.002731707663582825,0.022735520539450417,56,2000,0.002930302037870612,-0.014492526370154666,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
