target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
regular,ridge,H_M_P_C,0.01,0.4814287078188877,0.4814287078188877,0.0029720288252970983
regular,ridge,H_M_P_C,0.1,0.4824325872605083,0.4824325872605083,0.004818352306557377
regular,ridge,H_M_P_C,1.0,0.48322314123051724,0.48322314123051724,0.005217453196116632
regular,ridge,H_M_P_C,10.0,0.4843688757762144,0.48436887577621446,0.005736936878656566
regular,ridge,H_D_M_P_C,0.001,0.4828073447789393,0.4828073447789392,0.0011976811036367536
regular,ridge,H_D_M_P_C,0.01,0.4719506207547196,0.4719506207547196,0.002864235740336239
regular,ridge,H_D_M_P_C,0.1,0.45950893702997403,0.4595089370299741,0.00440291885135897
regular,ridge,H_D_M_P_C,1.0,0.4545069911371676,0.45450699113716747,0.006488533880913838
regular,ridge,H_D_M_P_C,10.0,0.45652815241541256,0.4565281524154125,0.007699029756513766
regular,ridge,H_B_M_P_C,0.001,0.48227001400729863,0.48227001400729863,0.001336273112804652
regular,ridge,H_B_M_P_C,0.01,0.47615196876461785,0.4761519687646179,0.0031669555117152027
regular,ridge,H_B_M_P_C,0.1,0.4771066339184188,0.4771066339184188,0.004824006535433304
regular,ridge,H_B_M_P_C,1.0,0.4779849524858935,0.47798495248589357,0.0052676846105539
regular,ridge,H_B_M_P_C,10.0,0.47913118848621344,0.4791311884862134,0.00568750802043967
regular,ridge,H_D_B_M_P_C,0.001,0.48056707540097154,0.48056707540097154,0.0012998060686520924
regular,ridge,H_D_B_M_P_C,0.01,0.46733801098670563,0.4673380109867057,0.0027162809057246625
regular,ridge,H_D_B_M_P_C,0.1,0.456202375056666,0.45620237505666594,0.003342884814821903
regular,ridge,H_D_B_M_P_C,1.0,0.4522194791689217,0.45221947916892163,0.0048053177809993745
regular,ridge,H_D_B_M_P_C,10.0,0.4542915869670892,0.45429158696708916,0.006098078555076469
regular,ridge,H_A,0.001,0.4846235024169393,0.4846235024169393,0.001341004336943537
regular,ridge,H_A,0.01,0.48133837257082546,0.4813383725708255,0.003268824488951505
regular,ridge,H_A,0.1,0.48144814486323184,0.48144814486323184,0.004793444150631797
regular,ridge,H_A,1.0,0.48159182274052137,0.48159182274052137,0.005050334440175742
regular,ridge,H_A,10.0,0.48160899682102304,0.481608996821023,0.005077841672949695
regular,ridge,H_D_A,0.001,0.48287934831919854,0.48287934831919854,0.0013449238018789047
regular,ridge,H_D_A,0.01,0.47174031256685595,0.4717403125668559,0.003288738489646252
regular,ridge,H_D_A,0.1,0.45731997020650395,0.45731997020650406,0.004520200946453504
regular,ridge,H_D_A,1.0,0.4514341922399126,0.4514341922399126,0.005643946510510443
regular,ridge,H_D_A,10.0,0.45300812070758495,0.45300812070758506,0.006811781678198464
regular,ridge,H_B_A,0.001,0.4822518612550411,0.4822518612550411,0.0015341931314441454
regular,ridge,H_B_A,0.01,0.4753859097220258,0.475385909722026,0.004020216343030644
regular,ridge,H_B_A,0.1,0.47522173215114283,0.47522173215114283,0.00571075519836622
regular,ridge,H_B_A,1.0,0.4754316363515617,0.4754316363515617,0.005991298306197029
regular,ridge,H_B_A,10.0,0.4754577262707422,0.4754577262707421,0.0060213768321549085
regular,ridge,H_D_B_A,0.001,0.4805576135671128,0.4805576135671129,0.0015059263148761437
regular,ridge,H_D_B_A,0.01,0.4664900560139203,0.4664900560139203,0.0036572891366102142
regular,ridge,H_D_B_A,0.1,0.453431522668109,0.45343152266810893,0.004106972176175787
regular,ridge,H_D_B_A,1.0,0.44869545671346145,0.44869545671346145,0.0036330638483321295
regular,ridge,H_D_B_A,10.0,0.4501934932174722,0.45019349321747215,0.004613366532753159
regular,ridge,H_M_A,0.001,0.4837975910997785,0.4837975910997784,0.0011515041915120426
regular,ridge,H_M_A,0.01,0.47914474463217216,0.47914474463217216,0.0027519595223118812
regular,ridge,H_M_A,0.1,0.47909357261969154,0.47909357261969154,0.0041081716167666975
regular,ridge,H_M_A,1.0,0.479247208257664,0.479247208257664,0.004337108190514281
regular,ridge,H_M_A,10.0,0.4792659147859239,0.4792659147859239,0.0043616327039360196
regular,ridge,H_D_M_A,0.001,0.48208115249047406,0.4820811524904741,0.0011685468659037735
regular,ridge,H_D_M_A,0.01,0.4701474913077532,0.47014749130775313,0.002923642978014425
regular,ridge,H_D_M_A,0.1,0.4570566808160542,0.4570566808160542,0.004287739569460037
regular,ridge,H_D_M_A,1.0,0.4515242708234055,0.4515242708234055,0.00565505104309157
regular,ridge,H_D_M_A,10.0,0.4531751174681642,0.45317511746816425,0.0069329924463906985
regular,ridge,H_B_M_A,0.001,0.48149442457240893,0.481494424572409,0.0013316220680130008
regular,ridge,H_B_M_A,0.01,0.4737386280710156,0.4737386280710155,0.0032604699093867376
regular,ridge,H_B_M_A,0.1,0.47359281684148996,0.4735928168414899,0.0045604819949493485
regular,ridge,H_B_M_A,1.0,0.4738253635772258,0.4738253635772257,0.004771954033323438
regular,ridge,H_B_M_A,10.0,0.47385398132353157,0.47385398132353157,0.004794619248898315
regular,ridge,H_D_B_M_A,0.001,0.47982524062232645,0.47982524062232657,0.001310907633282215
regular,ridge,H_D_B_M_A,0.01,0.46535478856191437,0.46535478856191437,0.0030116375477192794
regular,ridge,H_D_B_M_A,0.1,0.45341744358363884,0.45341744358363884,0.0034078489141756946
regular,ridge,H_D_B_M_A,1.0,0.4490218458747091,0.44902184587470906,0.003402506811858634
regular,ridge,H_D_B_M_A,10.0,0.45057944605966105,0.45057944605966116,0.004554236191697009
regular,ridge,H_P_A,0.001,0.4843934802357341,0.48439348023573403,0.001417532896460241
regular,ridge,H_P_A,0.01,0.4806450663934523,0.4806450663934522,0.0036743023188687365
regular,ridge,H_P_A,0.1,0.4807275800451455,0.4807275800451455,0.005432809879060037
regular,ridge,H_P_A,1.0,0.4808879950674294,0.4808879950674294,0.005729984608482829
regular,ridge,H_P_A,10.0,0.48090729044384345,0.4809072904438435,0.005761825549462042
regular,ridge,H_D_P_A,0.001,0.4826550020272655,0.4826550020272656,0.0014109851323100173
regular,ridge,H_D_P_A,0.01,0.4711440176388666,0.4711440176388665,0.0035173768881540477
regular,ridge,H_D_P_A,0.1,0.45685096608370424,0.45685096608370424,0.004649553276746626
regular,ridge,H_D_P_A,1.0,0.45071277294813816,0.45071277294813816,0.005760527700031985
regular,ridge,H_D_P_A,10.0,0.4522632840825358,0.45226328408253574,0.006914453693396827
regular,ridge,H_B_P_A,0.001,0.48207547725373917,0.4820754772537391,0.0015948358487003038
