algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
ridge_fixed,False,extended_K,ridge_fixed::D_B_M_P_C_K,D_B_M_P_C_K,29,0.6670730485431332,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0143715211516274,0.004072835425215,-0.0185705013018833,-0.0001261447250409,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,True,extended_K,ridge::H_K,H_K,11,0.6351676477812879,ridge::H_D_B_M_P_C_A_K,P0,-0.064444188536519,-0.0418143125355749,-0.0254569708284236,-0.0028270948274795,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_K,H_K,11,0.6356101895683843,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0329036220153387,-0.0163016589723464,-0.0250144290413272,-0.0084124659983349,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,True,extended_K,ridge::H_B_K,H_B_K,12,0.6338130840816668,ridge::H_D_B_M_P_C_A_K,P0,-0.0657987522361401,-0.0431688762351959,-0.0268115345280447,-0.0041816585271006,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_K,H_B_K,12,0.6338130840816668,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0347007275020562,-0.0180987644590639,-0.0268115345280447,-0.0102095714850524,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,True,extended_K,ridge::H_C_K,H_C_K,12,0.6356315146224345,ridge::H_D_B_M_P_C_A_K,P0,-0.0639803216953725,-0.0413504456944284,-0.0249931039872772,-0.002363227986333,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_C_K,H_C_K,12,0.6356315146224345,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0328822969612886,-0.0162803339182963,-0.0249931039872772,-0.0083911409442849,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_M_K,H_M_K,12,0.6388820106730839,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0296318009106391,-0.0130298378676469,-0.0217426079366276,-0.0051406448936354,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,True,extended_K,ridge::H_B_C_K,H_B_C_K,13,0.6337863909234275,ridge::H_D_B_M_P_C_A_K,P0,-0.0658254453943793,-0.0431955693934352,-0.0268382276862839,-0.0042083516853398,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_C_K,H_B_C_K,13,0.6337863909234275,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0347274206602955,-0.0181254576173032,-0.0268382276862839,-0.0102362646432916,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,True,extended_K,ridge::H_B_M_K,H_B_M_K,13,0.6379933943920627,ridge::H_D_B_M_P_C_A_K,P0,-0.0616184419257441,-0.0389885659248,-0.0226312242176488,-1.3482167047149107e-06,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_M_K,H_B_M_K,13,0.6380022376216871,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.030511573962036,-0.0139096109190437,-0.0226223809880245,-0.0060204179450322,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_M_C_K,H_M_C_K,13,0.6388321206398848,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0296816909438381,-0.0130797279008458,-0.0217924979698266,-0.0051905349268343,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,True,extended_K,ridge::H_B_M_C_K,H_B_M_C_K,14,0.6379007066273498,ridge::H_D_B_M_P_C_A_K,P0,-0.0617111296904572,-0.039081253689513,-0.0227239119823618,-9.403598141768596e-05,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_M_C_K,H_B_M_C_K,14,0.6379007066273498,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0306131049563732,-0.0140111419133809,-0.0227239119823618,-0.0061219489393695,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_P_K,H_P_K,22,0.6383396625211173,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0301741490626057,-0.0135721860196135,-0.0222849560885942,-0.005682993045602,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,True,extended_K,ridge::H_B_P_K,H_B_P_K,23,0.6373822838844373,ridge::H_D_B_M_P_C_A_K,P0,-0.0622295524333696,-0.0395996764324255,-0.0232423347252743,-0.0006124587243301,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_P_K,H_B_P_K,23,0.6373822838844373,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0311315276992857,-0.0145295646562935,-0.0232423347252743,-0.006640371682282,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_P_C_K,H_P_C_K,23,0.6382822170567879,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.030231594526935,-0.0136296314839428,-0.0223424015529236,-0.0057404385099313,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,True,extended_K,ridge_fixed::H_M_P_K,H_M_P_K,23,0.641075070409414,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.027438741174309,-0.0108367781313167,-0.0195495482002975,-0.0029475851573053,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge,True,extended_K,ridge::H_B_P_C_K,H_B_P_C_K,24,0.6372428057277129,ridge::H_D_B_M_P_C_A_K,P0,-0.0623690305900939,-0.0397391545891498,-0.0233818128819986,-0.0007519368810544,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_P_C_K,H_B_P_C_K,24,0.6372428057277129,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0312710058560101,-0.0146690428130178,-0.0233818128819986,-0.0067798498390063,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_M_P_K,H_B_M_P_K,24,0.6409353825958194,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0275784289879037,-0.0109764659449115,-0.0196892360138922,-0.0030872729709,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,True,extended_K,ridge_fixed::H_M_P_C_K,H_M_P_C_K,24,0.640987201268177,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.027526610315546,-0.0109246472725537,-0.0196374173415345,-0.0030354542985422,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,True,extended_K,ridge_fixed::H_B_M_P_C_K,H_B_M_P_C_K,25,0.6407660645154758,ridge_fixed::H_D_B_M_P_C_A_K,P0,-0.0277477470682472,-0.011145784025255,-0.0198585540942358,-0.0032565910512436,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
