subgroup,model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
age_group_3,hgb::D_B_M_P_C_A,363,208,0.5730027548209367,0.7496463946097032,0.2709195179294112,0.48554590570719597,0.5500355064290228,0.47116244317161593,-0.24683581170433097
age_group_3,hgb::D_B_M_P_C_A_K,363,208,0.5730027548209367,0.7147431051783267,0.2578925078871788,0.5390043424317618,0.6261964267324307,0.15730936608140847,0.20648091434248303
age_group_3,hgb::D_M_P_A,363,208,0.5730027548209367,0.7502769771908537,0.27159263348373436,0.47231699751861045,0.5515542589650383,0.5045470098980265,-0.28611549000958525
age_group_3,hgb::D_M_P_A_K,363,208,0.5730027548209367,0.7217443370926039,0.26097976853181415,0.5254807692307693,0.6103590989407257,0.21043586712254306,0.12396642473923083
age_group_3,hgb::H_D_B_M_P_C_A,363,208,0.5730027548209367,0.7140426628969249,0.2528033798761741,0.5571184863523574,0.5770409652625083,0.05632911348994332,0.3441266166567281
age_group_3,hgb::H_D_B_M_P_C_A_K,363,208,0.5730027548209367,0.6736904163026103,0.23867332956583703,0.6194323821339951,0.6667649286481907,-0.17632135025768225,0.7387248610816112
age_group_3,hgb::H_D_M_P,363,208,0.5730027548209367,0.6747637804310177,0.23920031885913792,0.6105303970223326,0.6415517876108872,-0.08335811735195416,0.6692140642015499
age_group_3,hgb::H_D_M_P_A,363,208,0.5730027548209367,0.7372716147630983,0.26072498565144864,0.5342586848635236,0.5641496930049301,0.1716259364656132,0.17476926768708384
age_group_3,prevalence,363,208,0.5730027548209367,0.6826867864545402,0.24478684825024288,0.5,0.5730027548209367,,
age_group_3,ridge::D_A_K,363,208,0.5730027548209367,0.7077971580176731,0.2534213697583996,0.5814361042183622,0.639328288282268,-0.18317624565087234,0.5819784260905091
age_group_3,ridge::D_B,363,208,0.5730027548209367,0.6993197411280352,0.2510008228391529,0.5488058312655087,0.6111500453080265,0.0182796700757555,0.42241450483894727
age_group_3,ridge::D_B_M_P_C_A,363,208,0.5730027548209367,0.7266300501429931,0.259508142676608,0.5303970223325063,0.5791585186816046,0.13256935068463593,0.20211347861712842
age_group_3,ridge::D_B_M_P_C_A_K,363,208,0.5730027548209367,0.6926518973232328,0.2457517322287703,0.61712158808933,0.6518888360870374,-0.30345547759728086,0.7532397719908805
age_group_3,ridge::H_D,363,208,0.5730027548209367,0.6924589155606121,0.245224419467105,0.5926333746898262,0.6381358644782181,-0.10126543892983722,0.5758095774575916
age_group_3,ridge::H_D_B_A,363,208,0.5730027548209367,0.7158682960216207,0.2516943576164518,0.5676488833746899,0.5948012765879156,-0.023377690661373816,0.4053050198959651
age_group_3,ridge::H_D_B_M_P_C_A,363,208,0.5730027548209367,0.7141415890744269,0.25067049109490447,0.5680831265508686,0.5976333014622058,-0.03217471607634897,0.4175687510092973
age_group_3,ridge::H_D_B_M_P_C_A_K,363,208,0.5730027548209367,0.6808443311771829,0.23787274556394036,0.6382444168734491,0.6547419475126085,-0.2852757312828892,0.7443053626606454
age_group_4,P0,323,218,0.6749226006191951,0.6038381657708252,0.20639945429829493,0.6680428134556575,0.7602771643423183,0.24324286681823928,1.7027589080690855
age_group_4,hgb::D_B_M_P_C_A,323,218,0.6749226006191951,0.678237829752984,0.2379030984282934,0.5535823503713412,0.6877333785729918,0.6690270462762697,0.15047792085915704
age_group_4,hgb::D_B_M_P_C_A_K,323,218,0.6749226006191951,0.6750887099499914,0.23910676151938975,0.5541939711664483,0.7212298422669408,0.6512794863606564,0.22348628725639388
age_group_4,hgb::D_M_P_A,323,218,0.6749226006191951,0.6869364355212451,0.24231332316560963,0.5478156400174748,0.6945813138560315,0.7074004685999828,0.059799562430712806
age_group_4,hgb::D_M_P_A_K,323,218,0.6749226006191951,0.6887006753880762,0.24543321194910367,0.5371122761031017,0.7099886919936497,0.6998367333218682,0.08778690151174509
age_group_4,hgb::H_D_B_M_P_C_A,323,218,0.6749226006191951,0.6181756478115236,0.21158349110993885,0.6563564875491481,0.7403516485294155,0.4725707491527336,0.7600615320716404
age_group_4,hgb::H_D_B_M_P_C_A_K,323,218,0.6749226006191951,0.6137648360294307,0.21108173228158605,0.6687199650502403,0.7724112551283504,0.4531136179173433,0.8858985242474102
age_group_4,hgb::H_D_M_P,323,218,0.6749226006191951,0.6111402108152094,0.20991769857263243,0.664242027086064,0.7626478052098401,0.45193024327499476,0.8810755473885188
age_group_4,hgb::H_D_M_P_A,323,218,0.6749226006191951,0.6202458312578631,0.2119508253489634,0.6598733071210136,0.7411575199096261,0.47093649793838827,0.7327814685386304
age_group_4,prevalence,323,218,0.6749226006191951,0.6571884796151384,0.23210377873482466,0.5,0.6749226006191951,,
age_group_4,ridge::D_A_K,323,218,0.6749226006191951,0.6490340171747917,0.225339206681779,0.5960899956312801,0.7379078384051231,0.5618451548549492,0.38293753730148583
age_group_4,ridge::D_B,323,218,0.6749226006191951,0.6464528868276799,0.22477740570707697,0.5918741808650065,0.7137952515379177,0.552171345342482,0.4663906474610987
age_group_4,ridge::D_B_M_P_C_A,323,218,0.6749226006191951,0.647307057249631,0.22297994639016167,0.5897771952817825,0.7147902838820986,0.5491117425751407,0.3868847762761822
age_group_4,ridge::D_B_M_P_C_A_K,323,218,0.6749226006191951,0.6485209679485223,0.2249567612940087,0.5959589340323286,0.7404436367346815,0.5523405386429465,0.4092942578819796
