model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge_fixed::H_B_P_A,H_B_P_A,True,4.0,14,13,4,ridge_fixed,0.1,0.6558327693862638,0.004388945036827461,4,1520,853,0.5611842105263158,0.6724829626187756,0.2384772940130492,0.5891851846644087,0.5986081268232469,-0.0265800015401771,0.7064971491140865
ridge::H_D_B_P_A,H_D_B_P_A,True,5.0,18,17,8,ridge,1.0,0.636039150799616,0.0084082620734279,35,1520,853,0.5611842105263158,0.7118585932917908,0.2477682257173842,0.5973510899884172,0.5950191597953405,0.0966735639015134,0.3434255637202202
ridge_fixed::H_D_B_P_A,H_D_B_P_A,True,5.0,18,17,8,ridge_fixed,0.1,0.6386550608474171,0.005323217171904101,35,1520,853,0.5611842105263158,0.6815209115895507,0.2406015388127072,0.6057472436114884,0.6047598859238208,0.0293807584794939,0.5393786721071354
ridge::H_M_P_A,H_M_P_A,True,4.0,14,13,4,ridge,0.1,0.6603533563864001,0.0035189090967773,4,1520,853,0.5611842105263158,0.6727609997705459,0.2389543002143548,0.5898574745452596,0.6107593931389501,-0.0404580044123272,0.7418892660116324
ridge_fixed::H_M_P_A,H_M_P_A,True,4.0,14,13,4,ridge_fixed,0.1,0.6603533563864001,0.003518909096777369,4,1520,853,0.5611842105263158,0.6727609997705459,0.2389543002143548,0.5898574745452596,0.6107593931389501,-0.0404580044123272,0.7418892660116324
ridge::H_D_M_P_A,H_D_M_P_A,True,5.0,18,17,8,ridge,1.0,0.6383114360628088,0.0097080189267246,35,1520,853,0.5611842105263158,0.7188339045550516,0.2507404484485139,0.5884821364229961,0.5881836041567456,0.1139520053632675,0.300234205907567
ridge_fixed::H_D_M_P_A,H_D_M_P_A,True,5.0,18,17,8,ridge_fixed,0.1,0.6414668288960774,0.006472706009275007,35,1520,853,0.5611842105263158,0.6854153008673608,0.2425094849030786,0.598665790199859,0.5985759363254869,0.039102620104539,0.5115798646937908
ridge::H_B_M_P_A,H_B_M_P_A,True,5.0,15,14,5,ridge,0.1,0.65599403683093,0.00430584906332,5,1520,853,0.5611842105263158,0.6714963847820993,0.2380346809465026,0.59324177301736,0.6001700439116591,-0.0321538052202818,0.719797238669525
ridge_fixed::H_B_M_P_A,H_B_M_P_A,True,5.0,15,14,5,ridge_fixed,0.1,0.65599403683093,0.004305849063320021,5,1520,853,0.5611842105263158,0.6714963847820993,0.2380346809465026,0.59324177301736,0.6001700439116591,-0.0321538052202818,0.719797238669525
ridge::H_D_B_M_P_A,H_D_B_M_P_A,True,6.0,19,18,9,ridge,1.0,0.6362297780478974,0.0083937878282635,36,1520,853,0.5611842105263158,0.7144361762043625,0.2488723272916934,0.5940309446683458,0.5922366993652455,0.1022952395299724,0.3298883481174247
