subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
D_B_A_K,False,4,17,17,7,ridge,1.0,0.6465315444142528,0.0069566892636394205
M_A_K,False,3,13,13,3,ridge,0.1,0.6653003794122406,0.0036648247244795264
D_M_A_K,False,4,17,17,7,ridge,1.0,0.6497370063584609,0.009182503275778443
B_M_A_K,False,4,14,14,4,ridge,0.1,0.6598454352383608,0.003102218111580537
D_B_M_A_K,False,5,18,18,8,ridge,1.0,0.6467528583495165,0.00701927696835333
P_A_K,False,3,23,23,3,ridge,0.1,0.6652843943967749,0.003485390971159481
D_P_A_K,False,4,27,27,7,ridge,1.0,0.6491660104836356,0.00984292817572855
B_P_A_K,False,4,24,24,4,ridge,0.1,0.6593124457079612,0.0023038683399328607
D_B_P_A_K,False,5,28,28,8,ridge,1.0,0.645554504910448,0.007776895551950317
M_P_A_K,False,4,24,24,4,ridge,0.1,0.6655499684971176,0.003568584796781736
D_M_P_A_K,False,5,28,28,8,ridge,1.0,0.6495159281278694,0.0097871143325513
B_M_P_A_K,False,5,25,25,5,ridge,0.1,0.6594980539768316,0.002305403383639794
D_B_M_P_A_K,False,6,29,29,9,ridge,1.0,0.6459037972933989,0.007759156733751558
C_A_K,False,3,13,13,3,ridge,0.1,0.6650986200699053,0.003430809648637
D_C_A_K,False,4,17,17,7,ridge,1.0,0.6505666458810856,0.00890065653185045
B_C_A_K,False,4,14,14,4,ridge,0.1,0.6598656157651931,0.0033126759732993133
D_B_C_A_K,False,5,18,18,8,ridge,1.0,0.6476107633456963,0.006667605461720549
M_C_A_K,False,4,14,14,4,ridge,0.1,0.6654028352976818,0.0035246101634292437
D_M_C_A_K,False,5,18,18,8,ridge,1.0,0.6508878916517834,0.008981765851097261
B_M_C_A_K,False,5,15,15,5,ridge,0.1,0.6600076580529798,0.003332549092482348
D_B_M_C_A_K,False,6,19,19,9,ridge,1.0,0.6478442732880747,0.006822087010025999
P_C_A_K,False,4,24,24,4,ridge,0.1,0.6653550510612966,0.003191194623852651
D_P_C_A_K,False,5,28,28,8,ridge,1.0,0.6503102667612197,0.009496006228925586
B_P_C_A_K,False,5,25,25,5,ridge,0.1,0.6594812478241739,0.00233699682351184
D_B_P_C_A_K,False,6,29,29,9,ridge,1.0,0.6467573715027599,0.0074185142684812565
M_P_C_A_K,False,5,25,25,5,ridge,0.1,0.6656493294917565,0.003298708632102031
D_M_P_C_A_K,False,6,29,29,9,ridge,1.0,0.6506762310696586,0.009504459483238973
B_M_P_C_A_K,False,6,26,26,6,ridge,0.1,0.6596695935925857,0.0023854636166895427
D_B_M_P_C_A_K,False,7,30,30,10,ridge,1.0,0.6470515853322324,0.007501855341901719
H,True,1,1,0,1,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6620826133717034,0.002965832182464167
H_D,True,2,5,4,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6440872421067338,0.007162261750398334
H_B,True,2,2,1,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.656149609502737,0.005724557462137084
H_D_B,True,3,6,5,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6407149204876604,0.007359358818084127
H_M,True,2,2,1,2,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6574903093314285,0.0023860152425556258
H_D_M,True,3,6,5,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6378678578039242,0.005997950696633091
H_B_M,True,3,3,2,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6526472365345142,0.005193180031993948
H_D_B_M,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6363475685984843,0.0064232587265019665
H_P,True,2,12,11,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6547926407716381,0.004103133705962
H_D_P,True,3,16,15,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6284341422186445,0.004564964611521445
H_B_P,True,3,13,12,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.648942154025296,0.0068310573592895605
H_D_B_P,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6287613874583236,0.004907316773608367
H_M_P,True,3,13,12,3,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6508401923689486,0.004135374835959648
H_D_M_P,True,4,17,16,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6263444622412933,0.003883715003582711
H_B_M_P,True,4,14,13,4,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.645656574276589,0.008301777257849896
H_D_B_M_P,True,5,18,17,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6257706174677631,0.005241822248932194
H_C,True,2,2,1,2,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6623233634817945,0.003114968599759505
H_D_C,True,3,6,5,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6385182763959425,0.005650417184185787
H_B_C,True,3,3,2,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6576726687330479,0.006109049688001586
H_D_B_C,True,4,7,6,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6364605695345188,0.005243861128074234
H_M_C,True,3,3,2,3,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6573640786608534,0.0027601761680893953
