algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::M_C_A_K,M_C_A_K,14,0.6720342155622857,hgb::D_B_M_P_C_A_K,prevalence,-0.0407710880150924,-0.0164410306494319,-0.0136093342827308,0.0107207230829296,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_P_C_A,B_P_C_A,14,0.6903368492735606,hgb::D_B_M_P_C_A_K,prevalence,-0.0224684543038176,0.0018616030618429,0.004693299428544,0.0290233567942046,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M_P_C,B_M_P_C,14,0.6950169824599665,hgb::D_B_M_P_C_A_K,prevalence,-0.0177883211174118,0.0065417362482486,0.0093734326149498,0.0337034899806103,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_P_C_A,M_P_C_A,14,0.6955600524249647,hgb::D_B_M_P_C_A_K,prevalence,-0.0172452511524136,0.0070848062132468,0.009916502579948,0.0342465599456085,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M_P_A,B_M_P_A,14,0.7013443706643763,hgb::D_B_M_P_C_A_K,prevalence,-0.0114609329130018,0.0128691244526586,0.0157008208193597,0.0400308781850203,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M_C_A_K,B_M_C_A_K,15,0.6671340611154487,hgb::D_B_M_P_C_A_K,prevalence,-0.0456712424619295,-0.021341185096269,-0.0185094887295678,0.0058205686360927,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_K,D_K,15,0.6925025559332557,hgb::D_B_M_P_C_A_K,prevalence,-0.0203027476441224,0.004027309721538,0.0068590060882392,0.0311890634538997,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::B_M_P_C_A,B_M_P_C_A,15,0.6984142739079411,hgb::D_B_M_P_C_A_K,prevalence,-0.0143910296694371,0.0099390276962233,0.0127707240629244,0.037100781428585,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_P,D_P,15,0.7222473048973507,hgb::D_B_M_P_C_A_K,prevalence,0.0094420013199724,0.0337720586856329,0.0366037550523341,0.0609338124179946,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_C_K,D_C_K,16,0.6890949401452642,hgb::D_B_M_P_C_A_K,prevalence,-0.023710363432114,0.0006196939335465,0.0034513903002476,0.0277814476659081,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::D_B_K,D_B_K,16,0.6903525180735142,hgb::D_B_M_P_C_A_K,prevalence,-0.0224527855038641,0.0018772718617963,0.0047089682284975,0.029039025594158,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::D_M_K,D_M_K,16,0.6910596595084219,hgb::D_B_M_P_C_A_K,prevalence,-0.0217456440689563,0.0025844132967042,0.0054161096634053,0.0297461670290659,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_A_K,D_A_K,16,0.7057978144400723,hgb::D_B_M_P_C_A_K,prevalence,-0.007007489137306,0.0173225682283545,0.0201542645950556,0.0444843219607161,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_P,D_M_P,16,0.7170352807528277,hgb::D_B_M_P_C_A_K,prevalence,0.0042299771754494,0.02856003454111,0.0313917309078111,0.0557217882734716,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_P,D_B_P,16,0.7193005922671386,hgb::D_B_M_P_C_A_K,prevalence,0.0064952886897602,0.0308253460554207,0.0336570424221219,0.0579870997877824,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_P_C,D_P_C,16,0.7194386989251496,hgb::D_B_M_P_C_A_K,prevalence,0.0066333953477713,0.0309634527134319,0.033795149080133,0.0581252064457935,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_P_A,D_P_A,16,0.732218153492724,hgb::D_B_M_P_C_A_K,prevalence,0.0194128499153458,0.0437429072810064,0.0465746036477076,0.0709046610133681,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_C_K,D_B_C_K,17,0.6868116503601362,hgb::D_B_M_P_C_A_K,prevalence,-0.025993653217242,-0.0016635958515815,0.0011681005151196,0.0254981578807802,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::D_M_C_K,D_M_C_K,17,0.6895788036292687,hgb::D_B_M_P_C_A_K,prevalence,-0.0232264999481095,0.001103557417551,0.0039352537842521,0.0282653111499126,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_K,D_B_M_K,17,0.6904499257773125,hgb::D_B_M_P_C_A_K,prevalence,-0.0223553778000656,0.0019746795655948,0.0048063759322959,0.0291364332979565,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::D_B_A_K,D_B_A_K,17,0.7001686719377553,hgb::D_B_M_P_C_A_K,prevalence,-0.0126366316396228,0.0116934257260376,0.0145251220927388,0.0388551794583993,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_C_A_K,D_C_A_K,17,0.705001154989575,hgb::D_B_M_P_C_A_K,prevalence,-0.0078041485878031,0.0165259087778574,0.0193576051445585,0.043687662510219,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_M_P_C,D_M_P_C,17,0.7121901674909844,hgb::D_B_M_P_C_A_K,prevalence,-0.0006151360863938,0.0237149212792666,0.0265466176459677,0.0508766750116283,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_P_C,D_B_P_C,17,0.7156933604389687,hgb::D_B_M_P_C_A_K,prevalence,0.0028880568615904,0.0272181142272509,0.0300498105939521,0.0543798679596126,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::D_B_M_P,D_B_M_P,17,0.7170012732397912,hgb::D_B_M_P_C_A_K,prevalence,0.004195969662413,0.0285260270280735,0.0313577233947747,0.0556877807604352,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
