replicate,dev_boot_n,eval_boot_n,P0,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,ridge::H_D,ridge::H_D_B_M_P_C_A,ridge::D_A_K,ridge::D_B_M_P_C_A_K,ridge::D_B,ridge::D_B_M_P_C_A,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K
65,1543,1543,0.6630553794247411,0.7252515427573197,0.7087253896526133,0.719470432340567,0.7261676458038325,0.7186939933008214,0.7149257957598865,0.7171053871932137,0.7306250762797905,0.7104380529173638,0.6856467552844259,0.7410274570643016,0.7123609844596328
66,1596,1493,0.6597945373621709,0.7273160999734225,0.714028153935646,0.7201616327014656,0.730128369780041,0.7222235396196355,0.7206173582050723,0.7213995520898993,0.7356809280454044,0.6966073737556434,0.6817049007236654,0.721252734756252,0.7130468558872779
67,1498,1567,0.6592523812068254,0.7112012928342291,0.694289680052726,0.6907247512000331,0.7075764003013113,0.7087859848168682,0.7042224475198211,0.7010186971244273,0.7161172372118524,0.7027668449309823,0.6888749036408963,0.7205195628610686,0.7179326869147088
68,1560,1529,0.6666801744047156,0.7065121782072077,0.6939175392280232,0.6964918402069602,0.708162377508727,0.7049830483309684,0.7004968378333083,0.6960594349927116,0.714301333800491,0.6844411945731598,0.6656294406884196,0.6946617600980982,0.6815994037221629
69,1557,1515,0.669226402986274,0.7025401666553353,0.7106714508478712,0.6909915065982892,0.7197809222172303,0.7040154875935244,0.7200943801386256,0.6947747673735858,0.7284890320620472,0.7033018846331678,0.6769448619301732,0.7156498950901468,0.7140856700110544
70,1626,1472,0.6617029846161471,0.6873677664661091,0.6712910500427565,0.676450299699605,0.6879606167076424,0.6785214496499807,0.6740835832352444,0.6793708427843622,0.6892534076860725,0.6903303404242267,0.6555599984091983,0.697339661654292,0.6832355257705632
71,1547,1512,0.6598999636442152,0.6853593747733708,0.6626219215750202,0.6770203200201634,0.6858086552849461,0.6761674971644925,0.6701335830524742,0.6794559426290454,0.6910244307285536,0.6979527273837464,0.6604864144512268,0.701500808451821,0.6893790074906487
72,1562,1559,0.6604721992615917,0.7179335719421261,0.7029979171614779,0.711659473263681,0.7229187837498815,0.711240220068004,0.706126799943969,0.7014286598610611,0.723301021408609,0.7141963028434414,0.6863448963254533,0.7312888926055077,0.715424042413238
73,1548,1520,0.6673685818091403,0.723271474614685,0.7205585029375616,0.7206309408109537,0.7435675900067459,0.7055475059415366,0.7215866540871025,0.7102551989690751,0.7418616197231784,0.722766896949363,0.6893220046164273,0.733453731336044,0.7236752493047158
74,1539,1546,0.6629200603437355,0.720725587425294,0.7215100046553792,0.7068556974487085,0.7343090351346884,0.7167672179801471,0.7206157014166731,0.7043396748100351,0.731585098054143,0.7225725923960191,0.6918708600930776,0.743117086408547,0.7180093548420075
75,1554,1512,0.6633888445609389,0.7382054374545424,0.735082291145773,0.7169898207034074,0.7481945687049233,0.7346228546320079,0.7381044408009567,0.7098193428516969,0.7474793569206035,0.7012573082069038,0.6765189108616453,0.7165971617057223,0.7066431603630724
76,1580,1511,0.6619500578824897,0.7106549075966984,0.6974809388957653,0.6996917182410669,0.7136851440916364,0.703163374520403,0.7052451792327368,0.7063916783658158,0.7194892122061715,0.6975937725260036,0.667467329930869,0.7213186743658947,0.7154716516551716
77,1578,1538,0.6623711738599385,0.7102920093918924,0.7148746675684875,0.7012973912905902,0.7292905276975671,0.7080616319374776,0.7265608850259635,0.7078446444482165,0.7406013633558868,0.6918581547791032,0.6687659075720983,0.6943850713721423,0.6913898127439627
78,1558,1467,0.670062441065731,0.7292143357569296,0.7353107100411155,0.7081158814140992,0.7476133815418284,0.7168308072682971,0.7396642307087665,0.7066223716241984,0.749836982797837,0.7161570383780652,0.6904990953208948,0.7376007937362462,0.7163995187457305
79,1581,1483,0.6564540149152573,0.705146540161897,0.6910053394299095,0.6995954629935162,0.7039045590535212,0.7018977867140958,0.6982224950140817,0.6972985116146705,0.7060965170687985,0.691018613602457,0.6593740525273075,0.6950761313877346,0.6897596239339042
80,1591,1489,0.6647418606599499,0.7265182604881131,0.7110830947009167,0.7139493030044446,0.7258491307213376,0.7281205827090107,0.7261574813866848,0.7202853955674258,0.7403431978796012,0.6847944710036388,0.6664066635904465,0.7319840700503928,0.7216504672339108
81,1559,1526,0.6699023930277597,0.747880695084891,0.7411297521285728,0.7252697801395768,0.7582196251539455,0.7332318407236952,0.7442734521560797,0.7299905542852673,0.761075880804351,0.7250010151579265,0.6944371929648657,0.7297550003614761,0.7137227766821653
82,1573,1503,0.6583851041018522,0.7311891407081961,0.7346030811408223,0.7159601750287224,0.7478921961894408,0.7424508843732701,0.7526307468093594,0.7306837544382393,0.7647459535565334,0.7042119153598048,0.6877729869403012,0.7439500070665068,0.7329711361715895
83,1549,1497,0.6624454659476314,0.7461525712629266,0.7384042195666524,0.7404995900403095,0.7504725903985442,0.7301950619061989,0.734678018571421,0.7304012330975751,0.7418173919135536,0.7068856941741839,0.6852479858440856,0.7389646543315399,0.7349620999279036
84,1553,1568,0.6563242514398364,0.7312490713044022,0.7354693409816241,0.7193862901707793,0.7469011829822322,0.7290713944907339,0.7355656715080784,0.717115963898409,0.7470933553921686,0.7356067205298187,0.7040810117107558,0.7454768161034088,0.7251236684098742
85,1600,1533,0.6610506283616382,0.7376012613970485,0.7348492672877274,0.7260373610116873,0.7456711848825511,0.7368543559132783,0.7444109213586975,0.7299340407937421,0.7541630507962302,0.7117197426707416,0.6993651086369527,0.7442127210551052,0.7402338426733344
