threshold,model,net_benefit,scope
0.5000000000000001,hgb::D_B_M_P_C_A,0.12960526315789458,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::D_B_M_P_C_A_K,0.1315789473684209,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::D_M_P_A,0.1184210526315788,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::D_M_P_A_K,0.11513157894736827,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::H_D_B_M_P_C_A,0.17631578947368406,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::H_D_B_M_P_C_A_K,0.17697368421052623,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::H_D_M_P,0.17368421052631572,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,hgb::H_D_M_P_A,0.16973684210526307,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,prevalence,0.12236842105263143,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::D_A_K,0.1427631578947367,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::D_B,0.15263157894736828,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::D_B_M_P_C_A,0.16578947368421038,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::D_B_M_P_C_A_K,0.15197368421052618,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::H_D,0.18223684210526309,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::H_D_B_A,0.18421052631578932,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::H_D_B_M_P_C_A,0.18618421052631565,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,ridge::H_D_B_M_P_C_A_K,0.1861842105263157,hypothetical classification utility; not intervention effectiveness
0.5000000000000001,act_none,0.0,
0.5000000000000001,act_all,0.12236842105263146,
0.5500000000000002,P0,0.13369883040935654,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::D_B_M_P_C_A,0.08238304093567234,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::D_B_M_P_C_A_K,0.0660087719298244,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::D_M_P_A,0.04415204678362557,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::D_M_P_A_K,0.0527777777777776,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::H_D_B_M_P_C_A,0.11798245614035072,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::H_D_B_M_P_C_A_K,0.13048245614035073,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::H_D_M_P,0.12163742690058467,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,hgb::H_D_M_P_A,0.11586257309941504,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,prevalence,0.024853801169590378,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::D_A_K,0.09320175438596474,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::D_B,0.07514619883040917,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::D_B_M_P_C_A,0.08603801169590625,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::D_B_M_P_C_A_K,0.09429824561403492,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::H_D,0.1271198830409355,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::H_D_B_A,0.13194444444444428,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::H_D_B_M_P_C_A,0.12149122807017526,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,ridge::H_D_B_M_P_C_A_K,0.13413742690058467,hypothetical classification utility; not intervention effectiveness
0.5500000000000002,act_none,0.0,
0.5500000000000002,act_all,0.02485380116959046,
0.6000000000000002,P0,0.06644736842105234,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::D_B_M_P_C_A,0.006578947368420791,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::D_B_M_P_C_A_K,0.009539473684210303,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::D_M_P_A,-0.035197368421052894,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::D_M_P_A_K,0.006578947368420866,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::H_D_B_M_P_C_A,0.055921052631578726,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::H_D_B_M_P_C_A_K,0.058223684210526094,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::H_D_M_P,0.05296052631578925,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,hgb::H_D_M_P_A,0.04111842105263135,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,prevalence,0.0,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::D_A_K,0.040131578947368234,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::D_B,0.0065789473684208285,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::D_B_M_P_C_A,0.007236842105262896,hypothetical classification utility; not intervention effectiveness
0.6000000000000002,ridge::D_B_M_P_C_A_K,0.03059210526315767,hypothetical classification utility; not intervention effectiveness
