algorithm,subset,config,oof_log_loss,fold_mean,fold_se,fold_losses
ridge,H_D_B,1.0,0.6379948075675399,0.6379948075675399,0.006840878391723173,"[0.6406362850922523, 0.6166426261787114, 0.6583966676136191, 0.6318864644297316, 0.6424119945233852]"
ridge,H_D_B,10.0,0.6389107128250644,0.6389107128250644,0.008370489861898645,"[0.6415090793307971, 0.6133226855710667, 0.664948546495035, 0.6320392484082338, 0.6427340043201893]"
ridge,H_M,0.001,0.6756035925253167,0.6756035925253168,0.0005012791241267383,"[0.6747070434082707, 0.6768454984271091, 0.6763748787571539, 0.6741905323572994, 0.6759000096767506]"
ridge,H_M,0.01,0.6635678703164549,0.6635678703164549,0.0019344405942189008,"[0.6592365180203916, 0.667832533999002, 0.6668295573372649, 0.6586424115592404, 0.6652983306663761]"
ridge,H_M,0.1,0.6622531035243827,0.6622531035243829,0.002693845760054624,"[0.6558296172349481, 0.6679257126878188, 0.666898335942565, 0.6556942427279748, 0.6649176090286077]"
ridge,H_M,1.0,0.6622409595761508,0.6622409595761507,0.0028036145840010756,"[0.6555054039196322, 0.6681110715886972, 0.6670870156299717, 0.6554562674452148, 0.6650450392972375]"
ridge,H_M,10.0,0.6622419039915571,0.6622419039915572,0.0028150817050653022,"[0.65547359895733, 0.6681325793952044, 0.6671089446718401, 0.6554337846505502, 0.6650606122828613]"
ridge,H_D_M,0.001,0.6724392682868716,0.6724392682868717,0.0002830853816195759,"[0.6723505665536913, 0.6722799730042663, 0.67350744555515, 0.671814523575945, 0.6722438327453059]"
ridge,H_D_M,0.01,0.6519954423874597,0.6519954423874597,0.001776664681164209,"[0.6508509127841887, 0.6476941377241371, 0.6582435326429851, 0.650187342682304, 0.6530012861036835]"
ridge,H_D_M,0.1,0.64301320338085,0.6430132033808501,0.005168793225460626,"[0.6443122020607016, 0.6257329279800626, 0.6573710426838001, 0.6401802116294879, 0.6474696325501981]"
ridge,H_D_M,1.0,0.6397760153074639,0.6397760153074639,0.008306886391931051,"[0.6447192942809976, 0.6102626144955452, 0.6605865296123372, 0.6369406538577354, 0.6463709842907039]"
ridge,H_D_M,10.0,0.6407396546418346,0.6407396546418347,0.00980089632350411,"[0.6453629105305525, 0.6070720002834881, 0.66745605885482, 0.6369141679704646, 0.6468931355698477]"
ridge,H_B_M,0.001,0.6729420564476327,0.6729420564476328,0.0009252306506688261,"[0.671660255036089, 0.6762619163441145, 0.6730480583081893, 0.6708339720362388, 0.6729060805135321]"
ridge,H_B_M,0.01,0.6593177714412755,0.6593177714412755,0.0031240433088827757,"[0.6538786333884847, 0.6697717020974089, 0.6605170629587113, 0.6519930094920664, 0.6604284492697065]"
ridge,H_B_M,0.1,0.6580097506542718,0.6580097506542718,0.004129105159058589,"[0.6503320017289728, 0.6714047527569917, 0.6600007600945451, 0.6482843544256415, 0.6600268842652081]"
ridge,H_B_M,1.0,0.6580088257205885,0.6580088257205885,0.004268140723203054,"[0.6500107900487876, 0.6717973474718959, 0.6601197575928764, 0.6479517118378046, 0.6601645216515778]"
ridge,H_B_M,10.0,0.6580110222529204,0.6580110222529204,0.004282597237495939,"[0.6499795706116269, 0.6718403001254157, 0.6601345356138038, 0.6479194259130913, 0.6601812790006646]"
ridge,H_D_B_M,0.001,0.669895014844888,0.6698950148448881,0.000550216921379806,"[0.6693985772148396, 0.6718003449483296, 0.670314632714308, 0.6685744125960827, 0.6693871067508804]"
ridge,H_D_B_M,0.01,0.6486346035810997,0.6486346035810997,0.0015358990916598681,"[0.6461110557223199, 0.6503560782642153, 0.6531440887128054, 0.64447438035232, 0.649087414853838]"
ridge,H_D_B_M,0.1,0.6406532092485842,0.6406532092485842,0.0039782150047556275,"[0.6396953501083332, 0.6307965085810523, 0.6537981807698547, 0.6348540976619416, 0.644121909121739]"
